,iteration,smart_agent,strategy,agent,money
407,33,retail,Dumber,Regional Warehouse,-2791.635600552663
408,33,retail,Dumber,Factory,-5193.009808084396
409,34,retail,Smart,Retail,5015.105625721388
410,34,retail,Smart,Wholesale,124.44049490004144
411,34,retail,Smart,Regional Warehouse,3192.1964906759213
412,34,retail,Smart,Factory,5015.105625721388
413,34,retail,Dumb,Retail,2051.903579371257
414,34,retail,Dumb,Wholesale,-6029.787092958219
415,34,retail,Dumb,Regional Warehouse,-4863.351044444207
416,34,retail,Dumb,Factory,2051.903579371257
417,34,retail,Dumber,Retail,-3426.688270386391
418,34,retail,Dumber,Wholesale,-5934.540905532996
419,34,retail,Dumber,Regional Warehouse,-4739.456291485394
420,34,retail,Dumber,Factory,-3426.688270386391
421,35,retail,Smart,Retail,2968.38046896412
422,35,retail,Smart,Wholesale,2270.2811742797594
423,35,retail,Smart,Regional Warehouse,1991.7310867133353
424,35,retail,Smart,Factory,2968.38046896412
425,35,retail,Dumb,Retail,962.4925396722152
426,35,retail,Dumb,Wholesale,-4114.538730790379
427,35,retail,Dumb,Regional Warehouse,-4679.862860663494
428,35,retail,Dumb,Factory,962.4925396722152
429,35,retail,Dumber,Retail,-3779.6227840672263
430,35,retail,Dumber,Wholesale,-3964.3717757581667
431,35,retail,Dumber,Regional Warehouse,-4588.538632745961
432,35,retail,Dumber,Factory,-3779.6227840672263
433,36,retail,Smart,Retail,7247.905820381742
434,36,retail,Smart,Wholesale,9007.013326761466
435,36,retail,Smart,Regional Warehouse,10948.467385055365
436,36,retail,Smart,Factory,7247.905820381742
437,36,retail,Dumb,Retail,3885.4592807926865
438,36,retail,Dumb,Wholesale,3824.7273986934006
439,36,retail,Dumb,Regional Warehouse,5360.918430300954
440,36,retail,Dumb,Factory,3885.4592807926865
441,36,retail,Dumber,Retail,2497.626374832236
442,36,retail,Dumber,Wholesale,4095.2824754056437
443,36,retail,Dumber,Regional Warehouse,5574.881489290719
444,36,retail,Dumber,Factory,2497.626374832236
445,37,retail,Smart,Retail,13689.770757715338
446,37,retail,Smart,Wholesale,9773.536354870657
447,37,retail,Smart,Regional Warehouse,16375.708132012971
448,37,retail,Smart,Factory,13689.770757715338
449,37,retail,Dumb,Retail,6947.513236368634
450,37,retail,Dumb,Wholesale,1563.3473371331156
451,37,retail,Dumb,Regional Warehouse,6020.148334918597
452,37,retail,Dumb,Factory,6947.513236368634
453,37,retail,Dumber,Retail,3449.193208752561
454,37,retail,Dumber,Wholesale,1893.7493844213852
455,37,retail,Dumber,Regional Warehouse,6370.66227113288
456,37,retail,Dumber,Factory,3449.193208752561
457,38,retail,Smart,Retail,12942.444178180343
458,38,retail,Smart,Wholesale,4669.667339556868
