,agent,day,inventory,purchase,r_s_a,q_s_a
447,Regional_Warehouse,112,0.0,67,-90.0,-90.0
448,Factory,112,0.0,39,-182.0,-182.0
449,Retail,113,0.0,91,-10.0,-10.0
450,Wholesale,113,0.0,47,-64.0,-64.0
451,Regional_Warehouse,113,0.0,10,-54.0,-54.0
452,Factory,113,0.0,63,-136.0,-136.0
453,Retail,114,0.0,97,-11.5,-11.5
454,Wholesale,114,0.0,56,-66.0,-66.0
455,Regional_Warehouse,114,0.0,19,-48.0,-48.0
456,Factory,114,0.0,86,-158.0,-158.0
457,Retail,115,0.0,1,-11.099999999999994,-11.099999999999994
458,Wholesale,115,0.0,39,-116.0,-116.0
459,Regional_Warehouse,115,0.0,72,-10.0,-10.0
460,Factory,115,0.0,32,-144.0,-144.0
461,Retail,116,0.0,3,-12.599999999999994,-12.599999999999994
462,Wholesale,116,0.0,65,-82.0,-82.0
463,Regional_Warehouse,116,0.0,40,-50.0,-50.0
464,Factory,116,0.0,4,-170.0,-170.0
465,Retail,117,0.0,77,-14.799999999999997,-14.799999999999997
466,Wholesale,117,0.0,77,-14.0,-14.0
467,Regional_Warehouse,117,0.0,48,-76.0,-76.0
468,Factory,117,0.0,82,-86.0,-86.0
469,Retail,118,0.0,67,-16.299999999999997,-16.299999999999997
470,Wholesale,118,0.0,50,-162.0,-162.0
471,Regional_Warehouse,118,0.0,8,-198.0,-198.0
472,Factory,118,0.0,83,-40.0,-40.0
473,Retail,119,0.0,99,-11.900000000000006,-11.900000000000006
474,Wholesale,119,0.0,83,-174.0,-174.0
475,Regional_Warehouse,119,0.0,10,-170.0,-170.0
476,Factory,119,0.0,64,-142.0,-142.0
477,Retail,120,0.0,50,-10.0,-10.0
478,Wholesale,120,0.0,57,-120.0,-120.0
479,Regional_Warehouse,120,0.0,38,-136.0,-136.0
480,Factory,120,0.0,34,-136.0,-136.0
481,Retail,121,0.0,87,-10.0,-10.0
482,Wholesale,121,0.0,97,-108.0,-108.0
483,Regional_Warehouse,121,0.0,93,-170.0,-170.0
484,Factory,121,0.0,21,-146.0,-146.0
485,Retail,122,0.0,50,-11.5,-11.5
486,Wholesale,122,0.0,0,-96.0,-96.0
487,Regional_Warehouse,122,0.0,62,-146.0,-146.0
488,Factory,122,0.0,7,-24.0,-24.0
489,Retail,123,0.0,47,-11.099999999999994,-11.099999999999994
490,Wholesale,123,0.0,3,-188.0,-188.0
491,Regional_Warehouse,123,0.0,86,-20.0,-20.0
492,Factory,123,0.0,41,-88.0,-88.0
493,Retail,124,0.0,63,-12.599999999999994,-12.599999999999994
494,Wholesale,124,0.0,39,-60.0,-60.0
495,Regional_Warehouse,124,0.0,87,-166.0,-166.0
496,Factory,124,0.0,13,-166.0,-166.0
497,Retail,125,0.0,95,-14.800000000000011,-14.800000000000011
498,Wholesale,125,0.0,63,-172.0,-172.0
499,Regional_Warehouse,125,0.0,60,-16.0,-16.0
500,Factory,125,0.0,54,-14.0,-14.0
501,Retail,126,0.0,78,-16.299999999999983,-16.299999999999983
502,Wholesale,126,0.0,40,-174.0,-174.0
503,Regional_Warehouse,126,0.0,99,-98.0,-98.0
504,Factory,126,0.0,84,-82.0,-82.0
505,Retail,127,0.0,71,-11.900000000000006,-11.900000000000006
