,iteracion,agente,estrategia,desempeño
766,31,Mayoreo,Un agente óptimo,0.26178708511839993
771,32,Fábrica,Nadie óptima,0.0
772,32,Fábrica,Un agente óptimo,0.8508608165655112
773,32,Fábrica,Todos óptima,1.0666791657076158
777,32,Almacén Regional,Nadie óptima,0.0
778,32,Almacén Regional,Un agente óptimo,0.01254719325761404
779,32,Almacén Regional,Todos óptima,1.154766555098605
783,32,Menudeo,Nadie óptima,0.0
784,32,Menudeo,Un agente óptimo,0.8508608165655112
785,32,Menudeo,Todos óptima,1.0666791657076158
789,32,Mayoreo,Nadie óptima,0.0
790,32,Mayoreo,Un agente óptimo,0.043587853966178106
791,32,Mayoreo,Todos óptima,1.1625399126369347
795,33,Fábrica,Nadie óptima,0.0
796,33,Fábrica,Un agente óptimo,0.1126210546378446
797,33,Fábrica,Todos óptima,0.48270639355049544
801,33,Almacén Regional,Nadie óptima,0.0
802,33,Almacén Regional,Un agente óptimo,0.02165126884472913
803,33,Almacén Regional,Todos óptima,0.37973446785859016
807,33,Menudeo,Nadie óptima,0.0
808,33,Menudeo,Un agente óptimo,0.1126210546378446
809,33,Menudeo,Todos óptima,0.48270639355049544
813,33,Mayoreo,Nadie óptima,0.0
814,33,Mayoreo,Un agente óptimo,0.056084379748019185
815,33,Mayoreo,Todos óptima,0.07442614156626584
819,34,Fábrica,Nadie óptima,0.0
820,34,Fábrica,Un agente óptimo,0.8317852740509519
821,34,Fábrica,Todos óptima,0.9692035930003823
825,34,Almacén Regional,Nadie óptima,0.0
826,34,Almacén Regional,Un agente óptimo,0.008378204856493864
827,34,Almacén Regional,Todos óptima,1.0329981841785194
831,34,Menudeo,Nadie óptima,0.0
832,34,Menudeo,Un agente óptimo,0.8317852740509519
833,34,Menudeo,Todos óptima,0.9692035930003823
837,34,Mayoreo,Nadie óptima,0.0
838,34,Mayoreo,Un agente óptimo,0.014718444225108249
839,34,Mayoreo,Todos óptima,0.9381738969264692
