,iteration,strategy,agent,money
453,37,Dumber,Retail,-3450.772743608878
454,37,Dumber,Wholesale,-4270.069699296196
455,37,Dumber,Regional Warehouse,-5530.676087069574
456,37,Dumber,Factory,-3450.772743608878
457,38,Smart,Retail,3844.709961399413
458,38,Smart,Wholesale,1721.9680234635089
459,38,Smart,Regional Warehouse,578.0574893563733
460,38,Smart,Factory,3844.709961399413
461,38,Dumb,Retail,1201.3168547125479
462,38,Dumb,Wholesale,-4408.231664460108
463,38,Dumb,Regional Warehouse,-5588.07531505999
464,38,Dumb,Factory,1201.3168547125479
465,38,Dumber,Retail,-3450.772743608878
466,38,Dumber,Wholesale,-4270.069699296196
467,38,Dumber,Regional Warehouse,-5530.676087069574
468,38,Dumber,Factory,-3450.772743608878
469,39,Smart,Retail,3844.709961399413
470,39,Smart,Wholesale,1721.9680234635089
471,39,Smart,Regional Warehouse,578.0574893563733
472,39,Smart,Factory,3844.709961399413
473,39,Dumb,Retail,1201.3168547125479
474,39,Dumb,Wholesale,-4408.231664460108
475,39,Dumb,Regional Warehouse,-5588.07531505999
476,39,Dumb,Factory,1201.3168547125479
477,39,Dumber,Retail,-3450.772743608878
478,39,Dumber,Wholesale,-4270.069699296196
479,39,Dumber,Regional Warehouse,-5530.676087069574
480,39,Dumber,Factory,-3450.772743608878
481,40,Smart,Retail,3844.709961399413
482,40,Smart,Wholesale,1721.9680234635089
483,40,Smart,Regional Warehouse,578.0574893563733
484,40,Smart,Factory,3844.709961399413
485,40,Dumb,Retail,1201.3168547125479
486,40,Dumb,Wholesale,-4408.231664460108
487,40,Dumb,Regional Warehouse,-5588.07531505999
488,40,Dumb,Factory,1201.3168547125479
489,40,Dumber,Retail,-3450.772743608878
490,40,Dumber,Wholesale,-4270.069699296196
491,40,Dumber,Regional Warehouse,-5530.676087069574
492,40,Dumber,Factory,-3450.772743608878
493,41,Smart,Retail,3844.709961399413
494,41,Smart,Wholesale,1721.9680234635089
495,41,Smart,Regional Warehouse,578.0574893563733
496,41,Smart,Factory,3844.709961399413
497,41,Dumb,Retail,1201.3168547125479
498,41,Dumb,Wholesale,-4408.231664460108
499,41,Dumb,Regional Warehouse,-5588.07531505999
500,41,Dumb,Factory,1201.3168547125479
501,41,Dumber,Retail,-3450.772743608878
502,41,Dumber,Wholesale,-4270.069699296196
503,41,Dumber,Regional Warehouse,-5530.676087069574
504,41,Dumber,Factory,-3450.772743608878
505,42,Smart,Retail,3844.709961399413
506,42,Smart,Wholesale,1721.9680234635089
507,42,Smart,Regional Warehouse,578.0574893563733
508,42,Smart,Factory,3844.709961399413
509,42,Dumb,Retail,1201.3168547125479
510,42,Dumb,Wholesale,-4408.231664460108
511,42,Dumb,Regional Warehouse,-5588.07531505999
512,42,Dumb,Factory,1201.3168547125479
513,42,Dumber,Retail,-3450.772743608878
514,42,Dumber,Wholesale,-4270.069699296196
515,42,Dumber,Regional Warehouse,-5530.676087069574
516,42,Dumber,Factory,-3450.772743608878
517,43,Smart,Retail,3844.709961399413
518,43,Smart,Wholesale,1721.9680234635089
519,43,Smart,Regional Warehouse,578.0574893563733
520,43,Smart,Factory,3844.709961399413
521,43,Dumb,Retail,1201.3168547125479
522,43,Dumb,Wholesale,-4408.231664460108
523,43,Dumb,Regional Warehouse,-5588.07531505999
524,43,Dumb,Factory,1201.3168547125479
525,43,Dumber,Retail,-3450.772743608878
526,43,Dumber,Wholesale,-4270.069699296196
527,43,Dumber,Regional Warehouse,-5530.676087069574
528,43,Dumber,Factory,-3450.772743608878
529,44,Smart,Retail,3844.709961399413
530,44,Smart,Wholesale,1721.9680234635089
531,44,Smart,Regional Warehouse,578.0574893563733
532,44,Smart,Factory,3844.709961399413
533,44,Dumb,Retail,1201.3168547125479
534,44,Dumb,Wholesale,-4408.231664460108
535,44,Dumb,Regional Warehouse,-5588.07531505999
536,44,Dumb,Factory,1201.3168547125479
537,44,Dumber,Retail,-3450.772743608878
538,44,Dumber,Wholesale,-4270.069699296196
539,44,Dumber,Regional Warehouse,-5530.676087069574
540,44,Dumber,Factory,-3450.772743608878
541,45,Smart,Retail,3844.709961399413
542,45,Smart,Wholesale,1721.9680234635089
543,45,Smart,Regional Warehouse,578.0574893563733
544,45,Smart,Factory,3844.709961399413
545,45,Dumb,Retail,1201.3168547125479
546,45,Dumb,Wholesale,-4408.231664460108
547,45,Dumb,Regional Warehouse,-5588.07531505999
548,45,Dumb,Factory,1201.3168547125479
549,45,Dumber,Retail,-3450.772743608878
550,45,Dumber,Wholesale,-4270.069699296196
551,45,Dumber,Regional Warehouse,-5530.676087069574
552,45,Dumber,Factory,-3450.772743608878
553,46,Smart,Retail,3844.709961399413
554,46,Smart,Wholesale,1721.9680234635089
555,46,Smart,Regional Warehouse,578.0574893563733
556,46,Smart,Factory,3844.709961399413
557,46,Dumb,Retail,1201.3168547125479
558,46,Dumb,Wholesale,-4408.231664460108
559,46,Dumb,Regional Warehouse,-5588.07531505999
560,46,Dumb,Factory,1201.3168547125479
561,46,Dumber,Retail,-3450.772743608878
562,46,Dumber,Wholesale,-4270.069699296196
563,46,Dumber,Regional Warehouse,-5530.676087069574
564,46,Dumber,Factory,-3450.772743608878
